#Dummy threshold values - to be substituted in the future with real ones
#side	layer	pmt	thr	value	error
1	33	B	2	20	2
1	33	B	3	30	3
1	33	B	4	40	4
1	34	A	1	10	1
1	34	A	2	20	2
1	34	A	3	30	3
1	34	A	4	40	4
1	34	B	1	10	1
1	34	B	2	20	2
1	34	B	3	30	3
1	34	B	4	40	4
1	35	A	1	10	1
1	35	A	2	20	2
1	35	A	3	30	3
1	35	A	4	40	4
1	35	B	1	10	1
1	35	B	2	20	2
1	35	B	3	30	3
1	35	B	4	40	4
1	36	A	1	10	1
1	36	A	2	20	2
1	36	A	3	30	3
1	36	A	4	40	4
1	36	B	1	10	1
1	36	B	2	20	2
1	36	B	3	30	3
1	36	B	4	40	4
1	37	A	1	10	1
1	37	A	2	20	2
1	37	A	3	30	3
1	37	A	4	40	4
1	37	B	1	10	1
1	37	B	2	20	2
1	37	B	3	30	3
1	37	B	4	40	4
1	38	A	1	10	1
1	38	A	2	20	2
1	38	A	3	30	3
1	38	A	4	40	4
1	38	B	1	10	1
1	38	B	2	20	2
1	38	B	3	30	3
1	38	B	4	40	4
1	39	A	1	10	1
1	39	A	2	20	2
1	39	A	3	30	3
1	39	A	4	40	4
1	39	B	1	10	1
1	39	B	2	20	2
1	39	B	3	30	3
1	39	B	4	40	4
1	40	A	1	10	1
1	40	A	2	20	2
1	40	A	3	30	3
1	40	A	4	40	4
1	40	B	1	10	1
1	40	B	2	20	2
1	40	B	3	30	3
1	40	B	4	40	4
1	41	A	1	10	1
1	41	A	2	20	2
1	41	A	3	30	3
1	41	A	4	40	4
1	41	B	1	10	1
1	41	B	2	20	2
1	41	B	3	30	3
1	41	B	4	40	4
1	42	A	1	10	1
1	42	A	2	20	2
1	42	A	3	30	3
1	42	A	4	40	4
1	42	B	1	10	1
1	42	B	2	20	2
1	42	B	3	30	3
1	42	B	4	40	4
1	43	A	1	10	1
1	43	A	2	20	2
1	43	A	3	30	3
1	43	A	4	40	4
1	43	B	1	10	1
1	43	B	2	20	2
1	43	B	3	30	3
1	43	B	4	40	4
1	44	A	1	10	1
1	44	A	2	20	2
1	44	A	3	30	3
1	44	A	4	40	4
1	44	B	1	10	1
1	44	B	2	20	2
1	44	B	3	30	3
1	44	B	4	40	4
1	45	A	1	10	1
1	45	A	2	20	2
1	45	A	3	30	3
1	45	A	4	40	4
1	45	B	1	10	1
1	45	B	2	20	2
1	45	B	3	30	3
1	45	B	4	40	4
1	46	A	1	10	1
1	46	A	2	20	2
1	46	A	3	30	3
1	46	A	4	40	4
1	46	B	1	10	1
1	46	B	2	20	2
1	46	B	3	30	3
1	46	B	4	40	4
1	47	A	1	10	1
1	47	A	2	20	2
1	47	A	3	30	3
1	47	A	4	40	4
1	47	B	1	10	1
1	47	B	2	20	2
1	47	B	3	30	3
1	47	B	4	40	4
1	48	A	1	10	1
1	48	A	2	20	2
1	48	A	3	30	3
1	48	A	4	40	4
1	48	B	1	10	1
1	48	B	2	20	2
1	48	B	3	30	3
1	48	B	4	40	4
2	1	A	1	10	1
2	1	A	2	20	2
2	1	A	3	30	3
2	1	A	4	40	4
2	1	B	1	10	1
2	1	B	2	20	2
2	1	B	3	30	3
2	1	B	4	40	4
2	2	A	1	10	1
2	2	A	2	20	2
2	2	A	3	30	3
2	2	A	4	40	4
2	2	B	1	10	1
2	2	B	2	20	2
2	2	B	3	30	3
2	2	B	4	40	4
2	3	A	1	10	1
2	3	A	2	20	2
2	3	A	3	30	3
2	3	A	4	40	4
2	3	B	1	10	1
2	3	B	2	20	2
2	3	B	3	30	3
2	3	B	4	40	4
2	4	A	1	10	1
2	4	A	2	20	2
2	4	A	3	30	3
2	4	A	4	40	4
2	4	B	1	10	1
2	4	B	2	20	2
2	4	B	3	30	3
2	4	B	4	40	4
2	5	A	1	10	1
2	5	A	2	20	2
2	5	A	3	30	3
2	5	A	4	40	4
2	5	B	1	10	1
2	5	B	2	20	2
2	5	B	3	30	3
2	5	B	4	40	4
2	6	A	1	10	1
2	6	A	2	20	2
2	6	A	3	30	3
2	6	A	4	40	4
2	6	B	1	10	1
2	6	B	2	20	2
2	6	B	3	30	3
2	6	B	4	40	4
2	7	A	1	10	1
2	7	A	2	20	2
2	7	A	3	30	3
2	7	A	4	40	4
2	7	B	1	10	1
2	7	B	2	20	2
2	7	B	3	30	3
2	7	B	4	40	4
2	8	A	1	10	1
2	8	A	2	20	2
2	8	A	3	30	3
2	8	A	4	40	4
2	8	B	1	10	1
2	8	B	2	20	2
2	8	B	3	30	3
2	8	B	4	40	4
2	9	A	1	10	1
2	9	A	2	20	2
2	9	A	3	30	3
2	9	A	4	40	4
2	9	B	1	10	1
2	9	B	2	20	2
2	9	B	3	30	3
2	9	B	4	40	4
2	10	A	1	10	1
2	10	A	2	20	2
2	10	A	3	30	3
2	10	A	4	40	4
2	10	B	1	10	1
2	10	B	2	20	2
2	10	B	3	30	3
2	10	B	4	40	4
2	11	A	1	10	1
2	11	A	2	20	2
2	11	A	3	30	3
2	11	A	4	40	4
2	11	B	1	10	1
2	11	B	2	20	2
2	11	B	3	30	3
2	11	B	4	40	4
2	12	A	1	10	1
2	12	A	2	20	2
2	12	A	3	30	3
2	12	A	4	40	4
2	12	B	1	10	1
2	12	B	2	20	2
2	12	B	3	30	3
2	12	B	4	40	4
2	13	A	1	10	1
2	13	A	2	20	2
2	13	A	3	30	3
2	13	A	4	40	4
2	13	B	1	10	1
2	13	B	2	20	2
2	13	B	3	30	3
2	13	B	4	40	4
2	14	A	1	10	1
2	14	A	2	20	2
2	14	A	3	30	3
2	14	A	4	40	4
2	14	B	1	10	1
2	14	B	2	20	2
2	14	B	3	30	3
2	14	B	4	40	4
2	15	A	1	10	1
2	15	A	2	20	2
2	15	A	3	30	3
2	15	A	4	40	4
2	15	B	1	10	1
2	15	B	2	20	2
2	15	B	3	30	3
2	15	B	4	40	4
2	16	A	1	10	1
2	16	A	2	20	2
2	16	A	3	30	3
2	16	A	4	40	4
2	16	B	1	10	1
2	16	B	2	20	2
2	16	B	3	30	3
2	16	B	4	40	4
2	17	A	1	10	1
2	17	A	2	20	2
2	17	A	3	30	3
2	17	A	4	40	4
2	17	B	1	10	1
2	17	B	2	20	2
2	17	B	3	30	3
2	17	B	4	40	4
2	18	A	1	10	1
2	18	A	2	20	2
2	18	A	3	30	3
2	18	A	4	40	4
2	18	B	1	10	1
2	18	B	2	20	2
2	18	B	3	30	3
2	18	B	4	40	4
2	19	A	1	10	1
2	19	A	2	20	2
2	19	A	3	30	3
2	19	A	4	40	4
2	19	B	1	10	1
2	19	B	2	20	2
2	19	B	3	30	3
2	19	B	4	40	4
2	20	A	1	10	1
2	20	A	2	20	2
2	20	A	3	30	3
2	20	A	4	40	4
2	20	B	1	10	1
2	20	B	2	20	2
2	20	B	3	30	3
2	20	B	4	40	4
2	21	A	1	10	1
2	21	A	2	20	2
2	21	A	3	30	3
2	21	A	4	40	4
2	21	B	1	10	1
2	21	B	2	20	2
2	21	B	3	30	3
2	21	B	4	40	4
2	22	A	1	10	1
2	22	A	2	20	2
2	22	A	3	30	3
2	22	A	4	40	4
2	22	B	1	10	1
2	22	B	2	20	2
2	22	B	3	30	3
2	22	B	4	40	4
2	23	A	1	10	1
2	23	A	2	20	2
2	23	A	3	30	3
2	23	A	4	40	4
2	23	B	1	10	1
2	23	B	2	20	2
2	23	B	3	30	3
2	23	B	4	40	4
2	24	A	1	10	1
2	24	A	2	20	2
2	24	A	3	30	3
2	24	A	4	40	4
2	24	B	1	10	1
2	24	B	2	20	2
2	24	B	3	30	3
2	24	B	4	40	4
2	25	A	1	10	1
2	25	A	2	20	2
2	25	A	3	30	3
2	25	A	4	40	4
2	25	B	1	10	1
2	25	B	2	20	2
2	25	B	3	30	3
2	25	B	4	40	4
2	26	A	1	10	1
2	26	A	2	20	2
2	26	A	3	30	3
2	26	A	4	40	4
2	26	B	1	10	1
2	26	B	2	20	2
2	26	B	3	30	3
2	26	B	4	40	4
2	27	A	1	10	1
2	27	A	2	20	2
2	27	A	3	30	3
2	27	A	4	40	4
2	27	B	1	10	1
2	27	B	2	20	2
2	27	B	3	30	3
2	27	B	4	40	4
2	28	A	1	10	1
2	28	A	2	20	2
2	28	A	3	30	3
2	28	A	4	40	4
2	28	B	1	10	1
2	28	B	2	20	2
2	28	B	3	30	3
2	28	B	4	40	4
2	29	A	1	10	1
2	29	A	2	20	2
2	29	A	3	30	3
2	29	A	4	40	4
2	29	B	1	10	1
2	29	B	2	20	2
2	29	B	3	30	3
2	29	B	4	40	4
2	30	A	1	10	1
2	30	A	2	20	2
2	30	A	3	30	3
2	30	A	4	40	4
2	30	B	1	10	1
2	30	B	2	20	2
2	30	B	3	30	3
2	30	B	4	40	4
2	31	A	1	10	1
2	31	A	2	20	2
2	31	A	3	30	3
2	31	A	4	40	4
2	31	B	1	10	1
2	31	B	2	20	2
2	31	B	3	30	3
2	31	B	4	40	4
2	32	A	1	10	1
2	32	A	2	20	2
2	32	A	3	30	3
2	32	A	4	40	4
2	32	B	1	10	1
2	32	B	2	20	2
2	32	B	3	30	3
2	32	B	4	40	4
2	33	A	1	10	1
2	33	A	2	20	2
2	33	A	3	30	3
2	33	A	4	40	4
2	33	B	1	10	1
2	33	B	2	20	2
2	33	B	3	30	3
2	33	B	4	40	4
2	34	A	1	10	1
2	34	A	2	20	2
2	34	A	3	30	3
2	34	A	4	40	4
2	34	B	1	10	1
2	34	B	2	20	2
2	34	B	3	30	3
2	34	B	4	40	4
2	35	A	1	10	1
2	35	A	2	20	2
2	35	A	3	30	3
2	35	A	4	40	4
2	35	B	1	10	1
2	35	B	2	20	2
2	35	B	3	30	3
2	35	B	4	40	4
2	36	A	1	10	1
2	36	A	2	20	2
2	36	A	3	30	3
2	36	A	4	40	4
2	36	B	1	10	1
2	36	B	2	20	2
2	36	B	3	30	3
2	36	B	4	40	4
2	37	A	1	10	1
2	37	A	2	20	2
2	37	A	3	30	3
2	37	A	4	40	4
2	37	B	1	10	1
2	37	B	2	20	2
2	37	B	3	30	3
2	37	B	4	40	4
2	38	A	1	10	1
2	38	A	2	20	2
2	38	A	3	30	3
2	38	A	4	40	4
2	38	B	1	10	1
2	38	B	2	20	2
2	38	B	3	30	3
2	38	B	4	40	4
2	39	A	1	10	1
2	39	A	2	20	2
2	39	A	3	30	3
2	39	A	4	40	4
2	39	B	1	10	1
2	39	B	2	20	2
2	39	B	3	30	3
2	39	B	4	40	4
2	40	A	1	10	1
2	40	A	2	20	2
2	40	A	3	30	3
2	40	A	4	40	4
2	40	B	1	10	1
2	40	B	2	20	2
2	40	B	3	30	3
2	40	B	4	40	4
2	41	A	1	10	1
2	41	A	2	20	2
2	41	A	3	30	3
2	41	A	4	40	4
2	41	B	1	10	1
2	41	B	2	20	2
2	41	B	3	30	3
2	41	B	4	40	4
2	42	A	1	10	1
2	42	A	2	20	2
2	42	A	3	30	3
2	42	A	4	40	4
2	42	B	1	10	1
2	42	B	2	20	2
2	42	B	3	30	3
2	42	B	4	40	4
2	43	A	1	10	1
2	43	A	2	20	2
2	43	A	3	30	3
2	43	A	4	40	4
2	43	B	1	10	1
2	43	B	2	20	2
2	43	B	3	30	3
2	43	B	4	40	4
2	44	A	1	10	1
2	44	A	2	20	2
2	44	A	3	30	3
2	44	A	4	40	4
2	44	B	1	10	1
2	44	B	2	20	2
2	44	B	3	30	3
2	44	B	4	40	4
2	45	A	1	10	1
2	45	A	2	20	2
2	45	A	3	30	3
2	45	A	4	40	4
2	45	B	1	10	1
2	45	B	2	20	2
2	45	B	3	30	3
2	45	B	4	40	4
2	46	A	1	10	1
2	46	A	2	20	2
2	46	A	3	30	3
2	46	A	4	40	4
2	46	B	1	10	1
2	46	B	2	20	2
2	46	B	3	30	3
2	46	B	4	40	4
2	47	A	1	10	1
2	47	A	2	20	2
2	47	A	3	30	3
2	47	A	4	40	4
2	47	B	1	10	1
2	47	B	2	20	2
2	47	B	3	30	3
2	47	B	4	40	4
2	48	A	1	10	1
2	48	A	2	20	2
2	48	A	3	30	3
2	48	A	4	40	4
2	48	B	1	10	1
2	48	B	2	20	2
2	48	B	3	30	3
2	48	B	4	40	4
3	1	A	1	10	1
3	1	A	2	20	2
3	1	A	3	30	3
3	1	A	4	40	4
3	1	B	1	10	1
3	1	B	2	20	2
3	1	B	3	30	3
3	1	B	4	40	4
3	2	A	1	10	1
3	2	A	2	20	2
3	2	A	3	30	3
3	2	A	4	40	4
3	2	B	1	10	1
3	2	B	2	20	2
3	2	B	3	30	3
3	2	B	4	40	4
3	3	A	1	10	1
3	3	A	2	20	2
3	3	A	3	30	3
3	3	A	4	40	4
3	3	B	1	10	1
3	3	B	2	20	2
3	3	B	3	30	3
3	3	B	4	40	4
3	4	A	1	10	1
3	4	A	2	20	2
3	4	A	3	30	3
3	4	A	4	40	4
3	4	B	1	10	1
3	4	B	2	20	2
3	4	B	3	30	3
3	4	B	4	40	4
3	5	A	1	10	1
3	5	A	2	20	2
3	5	A	3	30	3
3	5	A	4	40	4
3	5	B	1	10	1
3	5	B	2	20	2
3	5	B	3	30	3
3	5	B	4	40	4
3	6	A	1	10	1
3	6	A	2	20	2
3	6	A	3	30	3
3	6	A	4	40	4
3	6	B	1	10	1
3	6	B	2	20	2
3	6	B	3	30	3
3	6	B	4	40	4
3	7	A	1	10	1
3	7	A	2	20	2
3	7	A	3	30	3
3	7	A	4	40	4
3	7	B	1	10	1
3	7	B	2	20	2
3	7	B	3	30	3
3	7	B	4	40	4
3	8	A	1	10	1
3	8	A	2	20	2
3	8	A	3	30	3
3	8	A	4	40	4
3	8	B	1	10	1
3	8	B	2	20	2
3	8	B	3	30	3
3	8	B	4	40	4
3	9	A	1	10	1
3	9	A	2	20	2
3	9	A	3	30	3
3	9	A	4	40	4
3	9	B	1	10	1
3	9	B	2	20	2
3	9	B	3	30	3
3	9	B	4	40	4
3	10	A	1	10	1
3	10	A	2	20	2
3	10	A	3	30	3
3	10	A	4	40	4
3	10	B	1	10	1
3	10	B	2	20	2
3	10	B	3	30	3
3	10	B	4	40	4
3	11	A	1	10	1
3	11	A	2	20	2
3	11	A	3	30	3
3	11	A	4	40	4
3	11	B	1	10	1
3	11	B	2	20	2
3	11	B	3	30	3
3	11	B	4	40	4
3	12	A	1	10	1
3	12	A	2	20	2
3	12	A	3	30	3
3	12	A	4	40	4
3	12	B	1	10	1
3	12	B	2	20	2
3	12	B	3	30	3
3	12	B	4	40	4
3	13	A	1	10	1
3	13	A	2	20	2
3	13	A	3	30	3
3	13	A	4	40	4
3	13	B	1	10	1
3	13	B	2	20	2
3	13	B	3	30	3
3	13	B	4	40	4
3	14	A	1	10	1
3	14	A	2	20	2
3	14	A	3	30	3
3	14	A	4	40	4
3	14	B	1	10	1
3	14	B	2	20	2
3	14	B	3	30	3
3	14	B	4	40	4
3	15	A	1	10	1
3	15	A	2	20	2
3	15	A	3	30	3
3	15	A	4	40	4
3	15	B	1	10	1
3	15	B	2	20	2
3	15	B	3	30	3
3	15	B	4	40	4
3	16	A	1	10	1
3	16	A	2	20	2
3	16	A	3	30	3
3	16	A	4	40	4
3	16	B	1	10	1
3	16	B	2	20	2
3	16	B	3	30	3
3	16	B	4	40	4
3	17	A	1	10	1
3	17	A	2	20	2
3	17	A	3	30	3
3	17	A	4	40	4
3	17	B	1	10	1
3	17	B	2	20	2
3	17	B	3	30	3
3	17	B	4	40	4
3	18	A	1	10	1
3	18	A	2	20	2
3	18	A	3	30	3
3	18	A	4	40	4
3	18	B	1	10	1
3	18	B	2	20	2
3	18	B	3	30	3
3	18	B	4	40	4
3	19	A	1	10	1
3	19	A	2	20	2
3	19	A	3	30	3
3	19	A	4	40	4
3	19	B	1	10	1
3	19	B	2	20	2
3	19	B	3	30	3
3	19	B	4	40	4
3	20	A	1	10	1
3	20	A	2	20	2
3	20	A	3	30	3
3	20	A	4	40	4
3	20	B	1	10	1
3	20	B	2	20	2
3	20	B	3	30	3
3	20	B	4	40	4
3	21	A	1	10	1
3	21	A	2	20	2
3	21	A	3	30	3
3	21	A	4	40	4
3	21	B	1	10	1
3	21	B	2	20	2
3	21	B	3	30	3
3	21	B	4	40	4
3	22	A	1	10	1
3	22	A	2	20	2
3	22	A	3	30	3
3	22	A	4	40	4
3	22	B	1	10	1
3	22	B	2	20	2
3	22	B	3	30	3
3	22	B	4	40	4
3	23	A	1	10	1
3	23	A	2	20	2
3	23	A	3	30	3
3	23	A	4	40	4
3	23	B	1	10	1
3	23	B	2	20	2
3	23	B	3	30	3
3	23	B	4	40	4
3	24	A	1	10	1
3	24	A	2	20	2
3	24	A	3	30	3
3	24	A	4	40	4
3	24	B	1	10	1
3	24	B	2	20	2
3	24	B	3	30	3
3	24	B	4	40	4
3	25	A	1	10	1
3	25	A	2	20	2
3	25	A	3	30	3
3	25	A	4	40	4
3	25	B	1	10	1
3	25	B	2	20	2
3	25	B	3	30	3
3	25	B	4	40	4
3	26	A	1	10	1
3	26	A	2	20	2
3	26	A	3	30	3
3	26	A	4	40	4
3	26	B	1	10	1
3	26	B	2	20	2
3	26	B	3	30	3
3	26	B	4	40	4
3	27	A	1	10	1
3	27	A	2	20	2
3	27	A	3	30	3
3	27	A	4	40	4
3	27	B	1	10	1
3	27	B	2	20	2
3	27	B	3	30	3
3	27	B	4	40	4
3	28	A	1	10	1
3	28	A	2	20	2
3	28	A	3	30	3
3	28	A	4	40	4
3	28	B	1	10	1
3	28	B	2	20	2
3	28	B	3	30	3
3	28	B	4	40	4
3	29	A	1	10	1
3	29	A	2	20	2
3	29	A	3	30	3
3	29	A	4	40	4
3	29	B	1	10	1
3	29	B	2	20	2
3	29	B	3	30	3
3	29	B	4	40	4
3	30	A	1	10	1
3	30	A	2	20	2
3	30	A	3	30	3
3	30	A	4	40	4
3	30	B	1	10	1
3	30	B	2	20	2
3	30	B	3	30	3
3	30	B	4	40	4
3	31	A	1	10	1
3	31	A	2	20	2
3	31	A	3	30	3
3	31	A	4	40	4
3	31	B	1	10	1
3	31	B	2	20	2
3	31	B	3	30	3
3	31	B	4	40	4
3	32	A	1	10	1
3	32	A	2	20	2
3	32	A	3	30	3
3	32	A	4	40	4
3	32	B	1	10	1
3	32	B	2	20	2
3	32	B	3	30	3
3	32	B	4	40	4
3	33	A	1	10	1
3	33	A	2	20	2
3	33	A	3	30	3
3	33	A	4	40	4
3	33	B	1	10	1
3	33	B	2	20	2
3	33	B	3	30	3
3	33	B	4	40	4
3	34	A	1	10	1
3	34	A	2	20	2
3	34	A	3	30	3
3	34	A	4	40	4
3	34	B	1	10	1
3	34	B	2	20	2
3	34	B	3	30	3
3	34	B	4	40	4
3	35	A	1	10	1
3	35	A	2	20	2
3	35	A	3	30	3
3	35	A	4	40	4
3	35	B	1	10	1
3	35	B	2	20	2
3	35	B	3	30	3
3	35	B	4	40	4
3	36	A	1	10	1
3	36	A	2	20	2
3	36	A	3	30	3
3	36	A	4	40	4
3	36	B	1	10	1
3	36	B	2	20	2
3	36	B	3	30	3
3	36	B	4	40	4
3	37	A	1	10	1
3	37	A	2	20	2
3	37	A	3	30	3
3	37	A	4	40	4
3	37	B	1	10	1
3	37	B	2	20	2
3	37	B	3	30	3
3	37	B	4	40	4
3	38	A	1	10	1
3	38	A	2	20	2
3	38	A	3	30	3
3	38	A	4	40	4
3	38	B	1	10	1
3	38	B	2	20	2
3	38	B	3	30	3
3	38	B	4	40	4
3	39	A	1	10	1
3	39	A	2	20	2
3	39	A	3	30	3
3	39	A	4	40	4
3	39	B	1	10	1
3	39	B	2	20	2
3	39	B	3	30	3
3	39	B	4	40	4
3	40	A	1	10	1
3	40	A	2	20	2
3	40	A	3	30	3
3	40	A	4	40	4
3	40	B	1	10	1
3	40	B	2	20	2
3	40	B	3	30	3
3	40	B	4	40	4
3	41	A	1	10	1
3	41	A	2	20	2
3	41	A	3	30	3
3	41	A	4	40	4
3	41	B	1	10	1
3	41	B	2	20	2
3	41	B	3	30	3
3	41	B	4	40	4
3	42	A	1	10	1
3	42	A	2	20	2
3	42	A	3	30	3
3	42	A	4	40	4
3	42	B	1	10	1
3	42	B	2	20	2
3	42	B	3	30	3
3	42	B	4	40	4
3	43	A	1	10	1
3	43	A	2	20	2
3	43	A	3	30	3
3	43	A	4	40	4
3	43	B	1	10	1
3	43	B	2	20	2
3	43	B	3	30	3
3	43	B	4	40	4
3	44	A	1	10	1
3	44	A	2	20	2
3	44	A	3	30	3
3	44	A	4	40	4
3	44	B	1	10	1
3	44	B	2	20	2
3	44	B	3	30	3
3	44	B	4	40	4
3	45	A	1	10	1
3	45	A	2	20	2
3	45	A	3	30	3
3	45	A	4	40	4
3	45	B	1	10	1
3	45	B	2	20	2
3	45	B	3	30	3
3	45	B	4	40	4
3	46	A	1	10	1
3	46	A	2	20	2
3	46	A	3	30	3
3	46	A	4	40	4
3	46	B	1	10	1
3	46	B	2	20	2
3	46	B	3	30	3
3	46	B	4	40	4
3	47	A	1	10	1
3	47	A	2	20	2
3	47	A	3	30	3
3	47	A	4	40	4
3	47	B	1	10	1
3	47	B	2	20	2
3	47	B	3	30	3
3	47	B	4	40	4
3	48	A	1	10	1
3	48	A	2	20	2
3	48	A	3	30	3
3	48	A	4	40	4
3	48	B	1	10	1
3	48	B	2	20	2
3	48	B	3	30	3
3	48	B	4	40	4
3	49	A	1	10	1
3	49	A	2	20	2
3	49	A	3	30	3
3	49	A	4	40	4
3	49	B	1	10	1
3	49	B	2	20	2
3	49	B	3	30	3
3	49	B	4	40	4
